productId,name,desc
1011,Relax by visualizing,"When you start to feel anxious, sit in a quiet and comfortable place. Think of your ideal place to relax. While it can be any place in the world, real or imaginary, it should be an image that you find very calming, happy, peaceful, and safe. Make sure it’s easy enough to think about so you can return to it in your mind when you feel anxious in the future. 
 Think of all the small details you’d find if you were there. Think about how the place would smell, feel, and sound. Envision yourself in that place, enjoying it comfortably. 
 Once you have a good picture of your “happy place,” close your eyes and take slow and regular breaths through your nose and out of your mouth. Be aware of your breathing and continue focusing on the place you’ve imagined in your mind until you feel your anxiety lifting. Visit this place in your mind whenever you feel anxious."
1012,Breathing techniques #1,Breathe in through your nose and watch your belly fill with air. Count slowly to three as you inhale. Hold for one second and then slowly breathe out through your nose as you count to three again.
1013,Breathing techniques #2,"Breathe in through your nose and imagine that you’re inhaling peaceful, calm air. Imagine that air spreading throughout your body. As you exhale, imagine that you’re breathing out stress and tension."
1014,Alternate-Nostril Breathing,"1.Position your right hand by bending your pointer and middle fingers into your palm, leaving your thumb, ring finger, and pinky extended. This is known as Vishnu mudra in yoga. 2.Close your eyes or softly gaze downward. 3.Inhale and exhale to begin. 4.Close off your right nostril with your thumb. 5.Inhale through your left nostril. 6.Close off your left nostril with your ring finger. 7.Open and exhale through your right nostril. 8.Inhale through your right nostril. 9.Close off your right nostril with your thumb. 10.Open and exhale through your left nostril. 11.Inhale through your left nostril. 
 Work up to 10 rounds of this breathing pattern. If you begin to feel lightheaded, take a break by releasing both nostrils and breathing normally."
1015,Belly Breathing,"Find a comfortable, quiet place to sit or lie down. For example, try sitting in a chair, sitting cross-legged, or lying on your back with a small pillow under your head and another under your knees. 1.Place one hand on your upper chest and the other hand on your belly, below the ribcage. 2.Allow your belly to relax, without forcing it inward by squeezing or clenching your muscles. 3.Breathe in slowly through your nose. The air should move into your nose and downward so that you feel your stomach rise with your other hand and fall inward (toward your spine). 4.Exhale slowly through slightly pursed lips. Take note of the hand on your chest, which should remain relatively still."
1016,Box Breathing,"It goes like this: 
 1.Exhale to a count of four. 2.Hold your lungs empty for a four-count. 3.Inhale to a count of four. 4.Hold the air in your lungs for a count of four. 5.Exhale and begin the pattern anew."
1017,4-7-8 Breathing,"1.Place and keep the tip of your tongue against the ridge of tissue behind your upper front teeth for the duration of the exercise. 2.Completely exhale through your mouth, making a ""whoosh"" sound. 3.Close your mouth and inhale quietly through your nose to a mental count of four. 4.Hold your breath for a count of seven. 5.Exhale completely through your mouth, making a whoosh sound to a count of eight."
1018,Lion’s Breath,"The exercise is best performed in a comfortable, seated position, leaning forward slightly with your hands on your knees or the floor. 1.Spread your fingers as wide as possible. 2.Inhale through your nose. 3.Open your mouth wide, stick out your tongue, and stretch it down toward your chin. 4.Exhale forcefully, carrying the breath across the root of your tongue. 5.While exhaling, make a ""ha"" sound that comes from deep within your abdomen. 6.Breathe normally for a few moments. 7.Repeat lion’s breath up to seven times."
1019,Mindfulness Breathing,"One mindfulness breathing exercise to try involves choosing a calming focus, including a sound (""om""), positive word (""peace""), or phrase (""breathe in calm, breathe out tension"") to repeat silently as you inhale or exhale. Let go and relax. If you notice that your mind has drifted, take a deep breath and gently return your attention to the present."
1020,Pursed-Lip Breathing,"1.Sit in a comfortable position with your neck and shoulders relaxed. 2.Keeping your mouth closed, inhale slowly through your nostrils for two seconds. 3.Exhale through your mouth for four seconds, puckering your lips as if giving a kiss. 4.Keep your breath slow and steady while breathing out. 
 To get the correct breathing pattern, experts recommend practicing pursed-lip breathing four to five times a day."
1021,Resonance Breathing,"1.Lie down and close your eyes. 2.Gently breathe in through your nose, mouth closed, for a count of six seconds. Don't fill your lungs too full of air. 3.Exhale for six seconds, allowing your breath to leave your body slowly and gently without forcing it. 4.Continue for up to 10 minutes. 5.Take a few additional minutes to be still and focus on how your body feels."
1022,Simple Breathing Exercise,"1.Inhale slowly and deeply through your nose. Keep your shoulders relaxed. Your abdomen should expand, and your chest should rise very little. 2.Exhale slowly through your mouth. As you blow air out, purse your lips slightly but keep your jaw relaxed. You may hear a soft “whooshing” sound as you exhale. 3.Repeat this breathing exercise. Do it for several minutes until you start to feel better."
